date,close,macd_hist,rsi,supertrend_signal,bb_percent,stoch_k,stoch_d,atr_pct,roc,obv,vwap
1986-09-10,0.105035,0.000623,54.221052,1,0.843905,76.191780,79.232215,0.034699,2.542199,312163200.000000,1152902.415276
1986-09-11,0.100694,0.000335,47.629931,0,0.184055,52.378084,65.805149,0.039020,-1.695774,276508800.000000,3652092.089653
1986-09-12,0.098090,-0.000029,44.323096,0,-0.161430,38.093152,51.949150,0.039211,-3.419551,252057600.000000,2426724.547935
1986-09-15,0.099826,-0.000144,47.042030,0,0.147524,47.616440,49.782795,0.037847,-1.710267,274550400.000000,2219334.597087
1986-09-16,0.099826,-0.000207,47.066655,0,0.185033,47.616440,48.699617,0.035709,-1.710267,274550400.000000,515998.083115
1986-09-17,0.102431,-0.000068,51.065601,0,0.639564,61.906848,55.303233,0.037719,3.509568,282585600.000000,818401.188469
1986-09-18,0.103299,0.000081,52.323369,1,0.795604,66.668492,60.985863,0.035185,7.207795,287942400.000000,554901.980782
1986-09-19,0.103299,0.000171,52.320157,1,0.805524,66.668492,63.827177,0.031844,10.185599,287942400.000000,258825.972819
1986-09-22,0.102431,0.000164,50.793152,0,0.656614,61.906848,62.867013,0.027815,0.854642,283449600.000000,461501.910496
1986-09-23,0.104167,0.000263,53.627132,1,0.933388,62.502696,62.684854,0.026924,-1.639236,289411200.000000,619277.094197
1986-09-24,0.102865,0.000229,51.220511,1,0.701313,50.003862,56.344358,0.025376,-2.065975,284630400.000000,493160.239649
1986-09-25,0.100694,0.000056,47.507032,0,0.342897,33.330778,44.837568,0.025913,-5.691619,279475200.000000,523574.142194
1986-09-26,0.100694,-0.000055,47.510445,0,0.350527,33.330778,39.084173,0.024338,-4.132907,279475200.000000,234899.741220
1986-09-29,0.098090,-0.000288,43.325391,0,-0.070008,15.383254,27.233714,0.025269,-2.586053,273283200.000000,612747.939348
1986-09-30,0.098090,-0.000419,43.328653,0,-0.104799,18.179917,22.706815,0.023892,0.000000,273283200.000000,511498.370647
1986-10-01,0.097222,-0.000533,41.845883,0,-0.373941,18.179917,20.443366,0.027839,-2.608539,240854400.000000,3162175.539064
1986-10-02,0.097222,-0.000574,41.883765,0,-0.280255,18.179917,19.311642,0.027647,-2.608539,240854400.000000,2215769.538474
1986-10-03,0.098090,-0.000510,44.120346,0,-0.066360,27.269876,23.290759,0.025638,-4.237974,255571200.000000,1443570.918632
1986-10-06,0.105903,0.000060,58.546959,1,1.312775,85.715459,54.503109,0.035823,2.520838,340905600.000000,8938380.177927
1986-10-07,0.108073,0.000558,61.190292,1,1.586544,85.295138,69.899123,0.036023,4.621540,400694400.000000,6461555.048561
1986-10-08,0.111111,0.001039,64.966602,1,1.770836,92.308166,81.103645,0.037900,8.473998,520300800.000000,13168465.156460
1986-10-09,0.114583,0.001508,68.059572,1,1.829902,87.996504,84.550074,0.039712,9.999329,612864000.000000,10579418.378019
1986-10-10,0.119792,0.002054,71.787861,1,1.909173,90.323299,87.436687,0.045572,16.455545,689616000.000000,9083215.428472
1986-10-13,0.114583,0.001949,62.002085,1,1.336134,70.966186,79.201436,0.047247,13.793274,662486400.000000,3155696.990490
1986-10-14,0.116319,0.001880,63.367094,1,1.343758,77.417320,78.309378,0.042152,15.517310,675360000.000000,1497448.571920
1986-10-15,0.121528,0.002056,67.595001,1,1.529592,96.774433,87.541906,0.042101,23.894382,738892800.000000,7629082.158709
1986-10-16,0.121528,0.002038,67.249162,1,1.390500,96.774433,92.158169,0.037044,23.894382,738892800.000000,2656504.849720
1986-10-17,0.125000,0.002116,70.499324,1,1.440133,97.143069,94.650619,0.035779,28.571722,863337600.000000,15447581.593323
1986-10-20,0.125868,0.002080,70.284881,1,1.353695,94.594929,94.622774,0.036595,29.464516,906883200.000000,5455798.978615
1986-10-21,0.131076,0.002247,73.989192,1,1.451758,100.000000,97.311387,0.035976,33.628293,1019260800.000000,14567432.865429
1986-10-22,0.131076,0.002194,73.349917,1,1.324535,96.296496,96.803941,0.032445,23.769859,1019260800.000000,7161498.935938
1986-10-23,0.131076,0.002001,73.525423,1,1.219221,95.890658,96.347300,0.029556,21.284677,1019260800.000000,9223431.546307
1986-10-24,0.130208,0.001671,71.959895,1,1.101240,91.803601,94.075450,0.030404,17.187317,917884800.000000,13111971.633911
1986-10-27,0.134549,0.001600,74.933924,1,1.168825,100.000000,97.037725,0.029939,17.424929,1043539200.000000,16761208.240843
1986-10-28,0.137587,0.001609,76.754023,1,1.176516,92.424733,94.731229,0.030837,14.854912,1186185600.000000,19585018.360519
1986-10-29,0.133681,0.001221,68.106226,1,0.963175,77.421009,86.076119,0.034233,16.667393,1132963200.000000,7161003.084183
1986-10-30,0.136285,0.001017,69.746168,1,0.975923,86.207995,86.142057,0.034421,17.164871,1177344000.000000,6022755.946398
1986-10-31,0.134549,0.000660,66.793307,1,0.850006,78.573196,82.357626,0.034391,10.714409,1113609600.000000,8630721.526909
1986-11-03,0.137153,0.000501,68.470572,1,0.880623,88.889807,85.623717,0.032207,12.857119,1155801600.000000,5774551.912308
1986-11-04,0.142361,0.000639,71.751933,1,0.988073,100.000000,92.811858,0.032038,13.888800,1210204800.000000,7650450.000000
1986-11-05,0.151042,0.001177,75.539612,1,1.180631,97.143021,94.977440,0.037246,20.000324,1255305600.000000,6681608.338451
1986-11-06,0.154514,0.001602,77.116432,1,1.201184,90.244450,92.610945,0.038982,17.881235,1327881600.000000,11193009.572983
1986-11-07,0.153646,0.001653,75.327836,1,1.114733,86.112022,89.361484,0.037210,17.219030,1283558400.000000,6797258.414841
1986-11-10,0.147569,0.001131,66.112005,1,0.880831,66.665602,78.013543,0.040255,12.582783,1254873600.000000,4282793.635941
1986-11-11,0.148438,0.000718,66.484177,1,0.858327,69.446421,73.729982,0.035934,14.000680,1266768000.000000,1772463.919687
1986-11-12,0.148438,0.000337,66.661584,1,0.821924,69.446421,71.588201,0.035781,10.322633,1266768000.000000,5089921.172047
1986-11-13,0.146267,-0.000142,63.389852,1,0.722318,56.451132,64.019667,0.034027,6.308736,1236556800.000000,4445134.948969
